model,method,k,ACC,Error
RF,xgb,1,0.5368932038834952,0.46310679611650485
RF,xgb,1,0.5296116504854369,0.4703883495145631
RF,xgb,1,0.5393203883495146,0.46067961165048543
RF,xgb,1,0.5208737864077669,0.47912621359223306
RF,xgb,1,0.5201554152501214,0.47984458474987857
RF,xgb,2,0.6912621359223301,0.3087378640776699
RF,xgb,2,0.6854368932038835,0.31456310679611654
RF,xgb,2,0.6888349514563107,0.3111650485436893
RF,xgb,2,0.6796116504854369,0.3203883495145631
RF,xgb,2,0.6721709567751336,0.3278290432248664
RF,xgb,3,0.6902912621359223,0.3097087378640777
RF,xgb,3,0.6936893203883495,0.3063106796116505
RF,xgb,3,0.6849514563106797,0.31504854368932034
RF,xgb,3,0.6864077669902913,0.31359223300970873
RF,xgb,3,0.6692569208353569,0.3307430791646431
RF,xgb,4,0.808252427184466,0.191747572815534
RF,xgb,4,0.8077669902912621,0.1922330097087379
RF,xgb,4,0.816990291262136,0.18300970873786404
RF,xgb,4,0.7995145631067961,0.20048543689320386
RF,xgb,4,0.8013598834385625,0.19864011656143754
RF,xgb,5,0.833495145631068,0.16650485436893203
RF,xgb,5,0.8242718446601942,0.1757281553398058
RF,xgb,5,0.8330097087378641,0.16699029126213594
RF,xgb,5,0.8266990291262136,0.17330097087378638
RF,xgb,5,0.8101019912578922,0.18989800874210783
RF,xgb,10,0.9519417475728156,0.04805825242718442
RF,xgb,10,0.962135922330097,0.03786407766990296
RF,xgb,10,0.9475728155339805,0.05242718446601946
RF,xgb,10,0.9470873786407767,0.052912621359223255
RF,xgb,10,0.9514327343370568,0.048567265662943226
RF,xgb,15,0.9679611650485437,0.03203883495145632
RF,xgb,15,0.9733009708737864,0.02669902912621358
RF,xgb,15,0.9679611650485437,0.03203883495145632
RF,xgb,15,0.9616504854368932,0.03834951456310676
RF,xgb,15,0.9558037882467217,0.04419621175327826
RF,xgb,20,0.974757281553398,0.025242718446601975
RF,xgb,20,0.9776699029126213,0.022330097087378653
RF,xgb,20,0.9733009708737864,0.02669902912621358
RF,xgb,20,0.9723300970873786,0.02766990291262139
RF,xgb,20,0.967459932005828,0.03254006799417197
RF,xgb,25,0.9733009708737864,0.02669902912621358
RF,xgb,25,0.9781553398058253,0.021844660194174748
RF,xgb,25,0.9791262135922331,0.020873786407766937
RF,xgb,25,0.9733009708737864,0.02669902912621358
RF,xgb,25,0.971830985915493,0.028169014084507005
RF,xgb,50,0.9796116504854369,0.020388349514563142
RF,xgb,50,0.9830097087378641,0.016990291262135915
RF,xgb,50,0.9796116504854369,0.020388349514563142
RF,xgb,50,0.9849514563106796,0.015048543689320404
RF,xgb,50,0.9776590577950461,0.022340942204953862
RF,xgb,100,0.9781553398058253,0.021844660194174748
RF,xgb,100,0.9849514563106796,0.015048543689320404
RF,xgb,100,0.9825242718446602,0.01747572815533982
RF,xgb,100,0.9839805825242719,0.016019417475728104
RF,xgb,100,0.9776590577950461,0.022340942204953862
RF,perm,1,0.45728155339805826,0.5427184466019417
RF,perm,1,0.42135922330097086,0.5786407766990291
RF,perm,1,0.4533980582524272,0.5466019417475728
RF,perm,1,0.441747572815534,0.558252427184466
RF,perm,1,0.43807673627974747,0.5619232637202525
RF,perm,2,0.6606796116504854,0.3393203883495146
RF,perm,2,0.6495145631067961,0.3504854368932039
RF,perm,2,0.6587378640776699,0.3412621359223301
RF,perm,2,0.6432038834951457,0.3567961165048543
RF,perm,2,0.6561437591063624,0.34385624089363764
RF,perm,3,0.6878640776699029,0.3121359223300971
RF,perm,3,0.6815533980582524,0.31844660194174756
RF,perm,3,0.6844660194174758,0.31553398058252424
RF,perm,3,0.6718446601941748,0.32815533980582523
RF,perm,3,0.6813987372510928,0.3186012627489072
RF,perm,4,0.7941747572815534,0.2058252427184466
RF,perm,4,0.7922330097087379,0.2077669902912621
RF,perm,4,0.7737864077669903,0.22621359223300974
RF,perm,4,0.7616504854368932,0.23834951456310682
RF,perm,4,0.7673627974745022,0.2326372025254978
RF,perm,5,0.791747572815534,0.20825242718446602
RF,perm,5,0.7898058252427185,0.21019417475728153
RF,perm,5,0.7713592233009708,0.22864077669902916
RF,perm,5,0.7577669902912622,0.24223300970873785
RF,perm,5,0.7595920349684313,0.2404079650315687
RF,perm,10,0.9524271844660194,0.04757281553398063
