model,method,k,MAE,MSE
SVM,xgb,1,2.091192205245821,7.744290596497243
SVM,xgb,1,2.177064684786992,9.001884770999558
SVM,xgb,1,2.172783844688918,8.806764678015927
SVM,xgb,1,2.079423521025863,8.789080278499995
SVM,xgb,1,2.1984019817770837,8.773010984473926
SVM,xgb,2,1.5511370650980967,4.563296075562294
SVM,xgb,2,1.6119360766652244,5.166120007359189
SVM,xgb,2,1.5504014797115904,4.591566722790977
SVM,xgb,2,1.5766426852910125,5.278987703981257
SVM,xgb,2,1.559140108499148,4.866204632344384
SVM,xgb,3,1.5371805752218586,4.460962371492921
SVM,xgb,3,1.573192553495871,4.948881568645873
SVM,xgb,3,1.503180022133246,4.330661438809166
SVM,xgb,3,1.5493417593002885,4.958355372232139
SVM,xgb,3,1.534116068099848,4.651922822532976
SVM,xgb,4,1.53707088620726,4.494741286603405
SVM,xgb,4,1.5834254335392683,5.034094489477272
SVM,xgb,4,1.49947420557642,4.361640662289506
SVM,xgb,4,1.5713343091324272,5.070940131866379
SVM,xgb,4,1.5302824445817236,4.672488949337983
SVM,xgb,5,1.4945078528329507,4.342047055346656
SVM,xgb,5,1.5515840786893487,4.960461748867351
SVM,xgb,5,1.4587805194427146,4.2272928896739375
SVM,xgb,5,1.5460513662371638,4.967999229874881
SVM,xgb,5,1.507194549410493,4.600309460534537
SVM,xgb,6,1.4823872314123558,4.272238517994581
SVM,xgb,6,1.5519173410934621,4.986660301797201
SVM,xgb,6,1.4569094577303636,4.202374073183769
SVM,xgb,6,1.542889424227812,4.994693473231405
SVM,xgb,6,1.494746533914736,4.489033143752467
SVM,xgb,7,1.4781386487131603,4.216658414380248
SVM,xgb,7,1.5527130599704289,4.958608776595599
SVM,xgb,7,1.4658637084488595,4.263453501760618
SVM,xgb,7,1.5482893682900714,4.985670423960293
SVM,xgb,7,1.5018313886291945,4.580848945679774
SVM,xgb,8,1.4802782152287846,4.198442163304231
SVM,xgb,8,1.5508914482026588,4.930437413431062
SVM,xgb,8,1.4683161173475354,4.242474982182365
SVM,xgb,8,1.5394446825223003,4.905132797281578
SVM,xgb,8,1.4937879818977646,4.521180737264577
SVM,xgb,9,1.4854695254522434,4.205841149423044
SVM,xgb,9,1.55009063126732,4.932719501171549
SVM,xgb,9,1.4694376599608787,4.225706147965509
SVM,xgb,9,1.5356860584864376,4.945427642485238
SVM,xgb,9,1.5018358487042556,4.51640689166514
SVM,xgb,10,1.4802488264827511,4.209800549882127
SVM,xgb,10,1.537007579503759,4.907760048464229
SVM,xgb,10,1.4727402460606571,4.240198869958745
SVM,xgb,10,1.540821823636031,4.97463549992996
SVM,xgb,10,1.5110305539632936,4.574863427840292
SVM,perm,1,1.7078424562562435,5.593257642692023
SVM,perm,1,1.8021688860840837,6.263440552475076
SVM,perm,1,1.8185804612567278,5.928016608021484
SVM,perm,1,1.7269124357812005,6.0665073856757745
SVM,perm,1,1.7609919453317155,5.718054349158125
SVM,perm,2,1.5538031582595013,4.560438439373576
SVM,perm,2,1.6189754783872472,5.190961402448108
SVM,perm,2,1.5532251621288256,4.616179315082969
SVM,perm,2,1.5809677731707934,5.293442388106624
SVM,perm,2,1.5452766285129675,4.7674613034633655
SVM,perm,3,1.534596943616973,4.440899038746784
SVM,perm,3,1.5725353782126394,4.949513484074075
SVM,perm,3,1.5068898222661538,4.323186130597881
SVM,perm,3,1.5484057038690535,4.976337583582836
SVM,perm,3,1.5363515444953935,4.6704428382243375
