model,method,k,metric,value,task
SVM,xgb,1,MAE,2.091192205245821,reg
SVM,xgb,1,MAE,2.177064684786992,reg
SVM,xgb,1,MAE,2.172783844688918,reg
SVM,xgb,1,MAE,2.079423521025863,reg
SVM,xgb,1,MAE,2.1984019817770837,reg
SVM,xgb,2,MAE,1.5511370650980967,reg
SVM,xgb,2,MAE,1.6119360766652244,reg
SVM,xgb,2,MAE,1.5504014797115904,reg
SVM,xgb,2,MAE,1.5766426852910125,reg
SVM,xgb,2,MAE,1.559140108499148,reg
SVM,xgb,3,MAE,1.5371805752218586,reg
SVM,xgb,3,MAE,1.573192553495871,reg
SVM,xgb,3,MAE,1.503180022133246,reg
SVM,xgb,3,MAE,1.5493417593002885,reg
SVM,xgb,3,MAE,1.534116068099848,reg
SVM,xgb,4,MAE,1.53707088620726,reg
SVM,xgb,4,MAE,1.5834254335392683,reg
SVM,xgb,4,MAE,1.49947420557642,reg
SVM,xgb,4,MAE,1.5713343091324272,reg
SVM,xgb,4,MAE,1.5302824445817236,reg
SVM,xgb,5,MAE,1.4945078528329507,reg
SVM,xgb,5,MAE,1.5515840786893487,reg
SVM,xgb,5,MAE,1.4587805194427146,reg
SVM,xgb,5,MAE,1.5460513662371638,reg
SVM,xgb,5,MAE,1.507194549410493,reg
SVM,xgb,6,MAE,1.4823872314123558,reg
SVM,xgb,6,MAE,1.5519173410934621,reg
SVM,xgb,6,MAE,1.4569094577303636,reg
SVM,xgb,6,MAE,1.542889424227812,reg
SVM,xgb,6,MAE,1.494746533914736,reg
SVM,xgb,7,MAE,1.4781386487131603,reg
SVM,xgb,7,MAE,1.5527130599704289,reg
SVM,xgb,7,MAE,1.4658637084488595,reg
SVM,xgb,7,MAE,1.5482893682900714,reg
SVM,xgb,7,MAE,1.5018313886291945,reg
SVM,xgb,8,MAE,1.4802782152287846,reg
SVM,xgb,8,MAE,1.5508914482026588,reg
SVM,xgb,8,MAE,1.4683161173475354,reg
SVM,xgb,8,MAE,1.5394446825223003,reg
SVM,xgb,8,MAE,1.4937879818977646,reg
SVM,xgb,9,MAE,1.4854695254522434,reg
SVM,xgb,9,MAE,1.55009063126732,reg
SVM,xgb,9,MAE,1.4694376599608787,reg
SVM,xgb,9,MAE,1.5356860584864376,reg
SVM,xgb,9,MAE,1.5018358487042556,reg
SVM,xgb,10,MAE,1.4802488264827511,reg
SVM,xgb,10,MAE,1.537007579503759,reg
SVM,xgb,10,MAE,1.4727402460606571,reg
SVM,xgb,10,MAE,1.540821823636031,reg
SVM,xgb,10,MAE,1.5110305539632936,reg
SVM,perm,1,MAE,1.7078424562562435,reg
SVM,perm,1,MAE,1.8021688860840837,reg
SVM,perm,1,MAE,1.8185804612567278,reg
SVM,perm,1,MAE,1.7269124357812005,reg
SVM,perm,1,MAE,1.7609919453317155,reg
SVM,perm,2,MAE,1.5538031582595013,reg
SVM,perm,2,MAE,1.6189754783872472,reg
SVM,perm,2,MAE,1.5532251621288256,reg
SVM,perm,2,MAE,1.5809677731707934,reg
SVM,perm,2,MAE,1.5452766285129675,reg
SVM,perm,3,MAE,1.534596943616973,reg
SVM,perm,3,MAE,1.5725353782126394,reg
SVM,perm,3,MAE,1.5068898222661538,reg
SVM,perm,3,MAE,1.5484057038690535,reg
SVM,perm,3,MAE,1.5363515444953935,reg
SVM,perm,4,MAE,1.5328763782291601,reg
SVM,perm,4,MAE,1.5854924076896681,reg
SVM,perm,4,MAE,1.4930683313128752,reg
SVM,perm,4,MAE,1.5774938779601966,reg
SVM,perm,4,MAE,1.5312345171418174,reg
SVM,perm,5,MAE,1.5063007281223735,reg
SVM,perm,5,MAE,1.5729183369965465,reg
SVM,perm,5,MAE,1.502546588479326,reg
SVM,perm,5,MAE,1.5654563369262542,reg
SVM,perm,5,MAE,1.5255068756763839,reg
SVM,perm,6,MAE,1.496532569864913,reg
SVM,perm,6,MAE,1.5810049266733068,reg
SVM,perm,6,MAE,1.5000628941038032,reg
SVM,perm,6,MAE,1.5571018504457341,reg
SVM,perm,6,MAE,1.514390128127689,reg
SVM,perm,7,MAE,1.5017999885220603,reg
SVM,perm,7,MAE,1.577440826370175,reg
SVM,perm,7,MAE,1.4974241378340258,reg
SVM,perm,7,MAE,1.556859435755257,reg
SVM,perm,7,MAE,1.5192099922214721,reg
SVM,perm,8,MAE,1.483128749059863,reg
SVM,perm,8,MAE,1.5466597726267872,reg
SVM,perm,8,MAE,1.4605247772209093,reg
SVM,perm,8,MAE,1.5417383143279058,reg
SVM,perm,8,MAE,1.4978504117277907,reg
SVM,perm,9,MAE,1.474168448389237,reg
SVM,perm,9,MAE,1.5531054237860051,reg
SVM,perm,9,MAE,1.4664693871392107,reg
SVM,perm,9,MAE,1.5375025013150483,reg
SVM,perm,9,MAE,1.5063544613243876,reg
SVM,perm,10,MAE,1.4854494987743931,reg
SVM,perm,10,MAE,1.5463430841345078,reg
SVM,perm,10,MAE,1.4750878264514595,reg
SVM,perm,10,MAE,1.537983413443549,reg
SVM,perm,10,MAE,1.514687716081901,reg
SVM,rf_shap,1,MAE,1.7036158323289035,reg
SVM,rf_shap,1,MAE,1.8021774222170013,reg
SVM,rf_shap,1,MAE,1.8153730743842775,reg
SVM,rf_shap,1,MAE,1.7249928784658028,reg
SVM,rf_shap,1,MAE,1.7569333349358143,reg
SVM,rf_shap,2,MAE,1.5561571118327215,reg
SVM,rf_shap,2,MAE,1.6188527295772037,reg
SVM,rf_shap,2,MAE,1.5545897886341993,reg
SVM,rf_shap,2,MAE,1.5776975611812967,reg
SVM,rf_shap,2,MAE,1.5544980713613377,reg
SVM,rf_shap,3,MAE,1.5418067434995424,reg
SVM,rf_shap,3,MAE,1.6170390055008033,reg
SVM,rf_shap,3,MAE,1.529516146733164,reg
SVM,rf_shap,3,MAE,1.6004384015066508,reg
SVM,rf_shap,3,MAE,1.5484058893247659,reg
SVM,rf_shap,4,MAE,1.533997613188891,reg
SVM,rf_shap,4,MAE,1.5757755878593072,reg
SVM,rf_shap,4,MAE,1.495142776140845,reg
SVM,rf_shap,4,MAE,1.5762315889905105,reg
SVM,rf_shap,4,MAE,1.5272352691369435,reg
SVM,rf_shap,5,MAE,1.5069136663266878,reg
SVM,rf_shap,5,MAE,1.5759603766458297,reg
SVM,rf_shap,5,MAE,1.5071345943372954,reg
SVM,rf_shap,5,MAE,1.5670588611832175,reg
SVM,rf_shap,5,MAE,1.5229885460367398,reg
SVM,rf_shap,6,MAE,1.502827673770097,reg
SVM,rf_shap,6,MAE,1.5747520034703624,reg
